city,house_type,adjusted_occupancy_rate,adj_airbnb_yroi,rent_yroi,roi_ratio,house_price,annual_airbnb_rent,adj_airbnb_new,annual_rent,service_cost,service_cost_new,local_annual_taxes,price_per_night,buy_eur_m2,rent_eur_m2,house_size,number_airbnb_house,airbnb_yroi_original
Calatafimi-Segesta,4BR_2BT,0.2872375174988334,0.037330858760822254,0.09851351351351349,0.37894150182453323,73593,6102.8,3983.9843677088193,8353.8,1849.1484,132.7994789236273,1103.895,38,629,5.95,117,1,0.0427996765996766
Sperlinga,2BR_1.5BT,0.29050396640223985,0.15758387811687358,0.09325301204819278,1.689852956550453,53452,14454,9543.05529631358,5786.34,4379.562,318.10184321045267,801.78,90,664,5.99,80.5,1,0.17347635261543065
Butera,7BR_7BT,0.29274381707886143,0.8257307413355905,0.08319767441860464,9.924925751902277,144480,188865.6,125657.35604293048,14187.599999999999,57226.2768,4188.57853476435,2167.2,1176,688,5.63,210,1,0.8961248837209304
Ficarra,2BR_2BT,0.2714652356509566,0.05849001328300194,0.18665217391304348,0.3133636863519787,39100,4818,2972.544330377975,7884.6,1459.854,99.08481101259916,586.5,30,460,7.73,85,1,0.07088608695652174
Acireale,2BR_2.5BT,0.33604759682687824,0.1310490068850831,0.052812500000000005,2.48140131380039,103104,20396.2,15577.486350909941,6991.74,6180.0486,519.2495450303313,1546.56,127,1152,6.51,89.5,2,0.12288166705462447
Alì Terme,1BR_1.5BT,0.32531497900139994,0.1481170438959125,0.107198649951784,1.3817062431526221,49257.5,11242,8311.797713485768,6019.200000000001,3406.326,277.05992378285896,738.8625,70,1037,10.56,47.5,1,0.14407575496117342
Collesano,2BR_2.5BT,0.3049696686887541,0.4591566445029976,0.08126373626373627,5.650203468529111,73300.5,51873.8,35954.399090060666,7056.18,15717.761400000001,1198.479969668689,1099.5075,323,819,6.57,89.5,2,0.4782577349404165
Trapani,1BR_1.5BT,0.3153289780681288,0.17557307221460347,0.07016129032258064,2.5024207993805554,44175,12152.066666666668,8708.86082594494,3762,3682.0762,290.2953608648313,662.625,75.66666666666667,930,6.6,47.5,15,0.17673719222788156
Calatabiano,7BR_8.5BT,0.2982501166588894,1.2059045754230693,0.0964859437751004,12.498240969004963,166954.5,311082.2,210864.3237284181,18613.08,94257.9066,7028.81079094727,2504.3175,1937,747,6.94,223.5,1,1.2837029004908524
Balestrate,6BR_5BT,0.3258749416705553,0.26686172897096677,0.0483940556088207,5.514349347532806,183568,72270,53524.95916938871,11637.119999999999,21897.809999999998,1784.1653056462903,2753.52,450,1043,5.51,176,1,0.25940616011505274
