neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
,Noto,Entire home/apt,120,15,0,,,1,358,0
,Castelvetrano,Entire home/apt,124,3,2,2023-10-07,0.07,2,90,1
,Catania,Private room,123,1,1,2023-12-15,1,3,359,1
,Zafferana Etnea,Private room,79,1,0,,,3,267,0
,Santa Flavia,Entire home/apt,128,1,0,,,3,360,0
,Cefal,Entire home/apt,73,4,3,2023-08-12,0.06,2,359,1
,Caltagirone,Private room,180,1,0,,,5,364,0
,Portopalo di Capo Passero,Entire home/apt,149,3,3,2023-08-15,0.10,1,0,1
,Pantelleria,Entire home/apt,110,7,5,2023-10-08,0.28,1,195,4
,Catania,Private room,35,2,59,2023-11-07,2.92,1,350,34
,Mazara del Vallo,Entire home/apt,70,2,3,2021-07-18,0.05,2,306,0
,Sciacca,Private room,70,1,0,,,8,210,0
,Catania,Entire home/apt,50,2,114,2023-09-30,1.87,1,361,20
,Palermo,Entire home/apt,131,2,14,2023-09-23,0.95,1,356,11
,Favignana,Entire home/apt,120,3,3,2023-08-23,0.07,5,178,1
,Ragusa,Entire home/apt,480,4,1,2019-08-18,0.02,5,231,0
,Milazzo,Entire home/apt,75,1,1,2023-07-30,0.19,1,208,1
,Sciacca,Private room,75,1,2,2023-08-21,0.38,8,362,2
,Trapani,Entire home/apt,261,2,9,2023-12-06,1.29,6,352,9
,Ragusa,Entire home/apt,81,1,7,2023-12-15,2.12,2,348,7
,Trapani,Entire home/apt,59,3,6,2023-11-05,0.35,2,345,2
,Palermo,Entire home/apt,40,2,255,2023-11-24,3.88,7,264,29
,Santa Venerina,Entire home/apt,95,5,34,2023-11-23,0.50,5,0,7
,Marsala,Entire home/apt,68,7,0,,,2,364,0
,Mascali,Entire home/apt,59,3,3,2022-08-27,0.10,1,241,0
,Palermo,Entire home/apt,79,1,0,,,89,331,0
,Catenanuova,Entire home/apt,922,1,0,,,5,351,0
,Siracusa,Private room,150,2,0,,,6,314,0
,Erice,Entire home/apt,128,2,0,,,4,262,0
,Catania,Entire home/apt,40,1,9,2023-12-28,2.97,1,280,9
,Favignana,Entire home/apt,250,2,3,2022-08-24,0.16,2,89,0
,Catania,Entire home/apt,50,1,1,2023-10-07,0.35,3,269,1
,Spadafora,Entire home/apt,75,1,0,,,2,242,0
,Catania,Private room,40,1,39,2023-12-10,7.96,1,357,39
,Ragusa,Entire home/apt,1589,1,1,2022-08-17,0.06,27,301,0
,Catania,Entire home/apt,65,2,1,2022-12-23,0.08,1,365,0
,Riposto,Entire home/apt,,2,0,,,1,0,0
,Palermo,Entire home/apt,117,2,1,2023-09-11,0.27,1,357,1
,Termini Imerese,Entire home/apt,39,1,0,,,1,363,0
,Letojanni,Entire home/apt,212,1,5,2023-09-25,0.74,94,362,5
,Taormina,Entire home/apt,54,3,62,2023-11-05,1.20,1,176,19
,Pozzallo,Entire home/apt,64,5,1,2023-07-15,0.18,1,269,1
,Castellammare del Golfo,Entire home/apt,,5,44,2022-08-25,0.39,4,0,0
,Pantelleria,Entire home/apt,70,3,3,2022-08-21,0.06,1,269,0
,Palermo,Entire home/apt,39,2,95,2023-12-27,4.53,3,168,58
,Campofelice di Roccella,Private room,60,1,49,2023-11-01,0.44,2,365,5
,Taormina,Entire home/apt,132,3,2,2023-09-10,0.31,10,328,2
,Lipari,Entire home/apt,55,1,114,2023-12-05,1.21,7,300,21
,Patti,Entire home/apt,28,2,0,,,6,364,0
,Castelbuono,Entire home/apt,43,3,14,2023-09-22,0.14,2,358,2
,Palermo,Entire home/apt,48,2,8,2023-11-03,1.44,15,262,8
,Palermo,Private room,21,1,140,2023-12-23,1.74,1,106,40
,Agrigento,Private room,55,1,0,,,4,363,0
,Trapani,Entire home/apt,50,2,2,2023-07-26,0.11,2,90,1
,Modica,Private room,85,1,3,2023-06-05,0.30,6,215,3
,Lampedusa e Linosa,Entire home/apt,190,3,9,2023-08-10,0.31,2,365,2
,Realmonte,Entire home/apt,100,2,1,2023-08-15,0.22,4,365,1
,Castiglione di Sicilia,Entire home/apt,70,1,7,2023-05-17,0.13,7,0,1
,Catania,Entire home/apt,73,2,7,2023-08-18,0.09,2,365,1
,Calatabiano,Entire home/apt,215,6,1,2021-08-06,0.03,2,0,0
,Trapani,Private room,146,1,0,,,6,293,0
,Favignana,Entire home/apt,55,5,3,2023-09-10,0.56,3,350,3
,Catania,Entire home/apt,80,1,8,2023-09-28,0.15,21,200,3
,Lampedusa e Linosa,Entire home/apt,,5,18,2023-10-29,1.00,1,0,11
,Scicli,Private room,39,3,0,,,2,90,0
,Palermo,Entire home/apt,74,2,0,,,3,181,0
,Porto Empedocle,Private room,64,1,0,,,9,270,0
,Favignana,Entire home/apt,100,5,0,,,3,154,0
,Lipari,Entire home/apt,70,1,1,2018-09-08,0.02,2,364,0
,Monreale,Entire home/apt,40,3,2,2023-08-02,0.35,1,178,2
,Sciacca,Entire home/apt,60,3,1,2022-08-14,0.06,2,365,0
,Taormina,Entire home/apt,256,1,5,2023-10-25,0.06,8,293,1
,Termini Imerese,Entire home/apt,,2,0,,,1,0,0
,Fiumefreddo di Sicilia,Entire home/apt,50,2,0,,,1,358,0
,Assoro,Private room,60,1,0,,,1,0,0
,Cinisi,Entire home/apt,80,3,0,,,2,268,0
,Lampedusa e Linosa,Entire home/apt,120,5,1,2022-08-05,0.06,1,365,0
,Linguaglossa,Private room,45,1,4,2021-12-26,0.05,3,147,0
,Lipari,Entire home/apt,300,4,0,,,1,0,0
,Valderice,Entire home/apt,58,1,0,,,89,364,0
,Taormina,Private room,156,1,0,,,4,359,0
,Palermo,Private room,25,21,5,2023-11-26,0.91,8,335,5
,Lipari,Entire home/apt,91,7,2,2016-09-25,0.02,7,365,0
,Agrigento,Entire home/apt,117,3,37,2023-10-18,0.57,1,118,12
,Noto,Entire home/apt,60,2,1,2023-08-05,0.20,2,33,1
,Siracusa,Entire home/apt,42,3,88,2023-12-22,1.55,2,239,25
,Lipari,Private room,80,2,1,2021-08-04,0.03,9,300,0
,San Vito Lo Capo,Private room,50,2,11,2023-06-17,0.28,4,353,1
,Palermo,Entire home/apt,41,1,1,2023-12-03,1,2,237,1
,Pachino,Entire home/apt,183,5,1,2023-08-12,0.21,3,365,1
,Santa Venerina,Entire home/apt,1954,1,0,,,53,196,0
,Terrasini,Entire home/apt,40,1,11,2023-09-21,0.36,12,0,2
,Lascari,Entire home/apt,78,1,0,,,1,365,0
,Castellammare del Golfo,Entire home/apt,580,7,0,,,2,115,0
,Palermo,Entire home/apt,99,2,17,2023-06-21,0.25,4,362,5
